TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
apple iphone 7 128gb gold|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||753 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|128 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone se 128gb rose gold|v4.2, a2dp, le||||ios 9.3||nano-sim|||496 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, hotspot|non-removable li-po 1642 mah battery|| 2 gb ram||powervr gt7600 (six-core graphics)|apple a9||dual-core 1.84 ghz twister|no|128 gb||1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|113 g (3.99 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|4.0 inches (~60.8% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels (~326 ppi pixel density)||
apple iphone 7 256gb rose gold|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||818 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|256 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone se 32gb rose gold|v4.2, a2dp, le||||ios 9.3||nano-sim|||382 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, hotspot|non-removable li-po 1642 mah battery|| 2 gb ram||powervr gt7600 (six-core graphics)|apple a9||dual-core 1.84 ghz twister|no|32 gb||1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|113 g (3.99 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|4.0 inches (~60.8% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels (~326 ppi pixel density)||
apple iphone se 128gb gray|v4.2, a2dp, le||||ios 9.3||nano-sim|||496 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, hotspot|non-removable li-po 1642 mah battery|| 2 gb ram||powervr gt7600 (six-core graphics)|apple a9||dual-core 1.84 ghz twister|no|128 gb||1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|113 g (3.99 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|4.0 inches (~60.8% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels (~326 ppi pixel density)||
apple iphone 6s 32gb silver|v4.2, a2dp, le||||ios 9, upgradable to ios 9.0.1||nano-sim|||610 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)||gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-po 1715 mah battery (6.9 wh)|| 2 gb ram|||apple a9||dual-core 1.8 ghz|no|32 gb||5 mp, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, 4608 x 2592 pixels, phase detection autofocus, dual-led (dual tone) flash|143 g (5.04 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone 7 128gb rose gold|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||753 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|128 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone 7 256gb black|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|256 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone 7 32gb black|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||658 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|32 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone 7 128gb red|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||764 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|128 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone se 128gb gold|v4.2, a2dp, le||||ios 9.3||nano-sim|||496 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, hotspot|non-removable li-po 1642 mah battery|| 2 gb ram||powervr gt7600 (six-core graphics)|apple a9||dual-core 1.84 ghz twister|no|128 gb||1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|113 g (3.99 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|4.0 inches (~60.8% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels (~326 ppi pixel density)||
apple iphone se 32gb gold|v4.2, a2dp, le||||ios 9.3||nano-sim|||382 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, hotspot|non-removable li-po 1642 mah battery|| 2 gb ram||powervr gt7600 (six-core graphics)|apple a9||dual-core 1.84 ghz twister|no|32 gb||1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|113 g (3.99 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|4.0 inches (~60.8% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels (~326 ppi pixel density)||
apple iphone 6s 32gb gold|v4.2, a2dp, le||||ios 9, upgradable to ios 9.0.1||nano-sim|||610 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)||gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-po 1715 mah battery (6.9 wh)|| 2 gb ram|||apple a9||dual-core 1.8 ghz|no|32 gb||5 mp, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, 4608 x 2592 pixels, phase detection autofocus, dual-led (dual tone) flash|143 g (5.04 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone 5s 16gb white|yes, v4.0 with a2dp||||ios 7, upgradable to ios 7.1.1||nano-sim|||312 €||lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n, dual-band, wi-fi hotspot|non-removable li-po 1560 mah battery (5.92 wh)|| 1 gb ram ddr3||powervr g6430 (quad-core graphics)|apple a7||dual-core 1.3 ghz cyclone (arm v8-based)|no|64 gb storage||yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi or cellular|8 mp, 3264 x 2448 pixels, autofocus, dual-led (dual tone) flash|112 g (3.95 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|640 x 1136 pixels, 4.0 inches (~326 ppi pixel density)||led-backlit ips lcd, capacitive touchscreen, 16m colors|||
apple iphone 5s 16gb gray|yes, v4.0 with a2dp||||ios 7, upgradable to ios 7.1.1||nano-sim|||301 €||lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800)|hsdpa 850 / 900 / 1900 / 2100|gsm 850 / 900 / 1800 / 1900 all models||wi-fi 802.11 a/b/g/n, dual-band, wi-fi hotspot|non-removable li-po 1560 mah battery (5.92 wh)|| 1 gb ram ddr3||powervr g6430 (quad-core graphics)|apple a7||dual-core 1.3 ghz cyclone (arm v8-based)|no|64 gb storage||yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi or cellular|8 mp, 3264 x 2448 pixels, autofocus, dual-led (dual tone) flash|112 g (3.95 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|640 x 1136 pixels, 4.0 inches (~326 ppi pixel density)||led-backlit ips lcd, capacitive touchscreen, 16m colors|||
apple iphone 7 128gb black|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||753 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|128 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone 7 128gb silver|v4.2, a2dp, le||||ios 10.0.1||nano-sim|||768 €||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500)|hsdpa 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot|non-removable li-ion 1960 mah battery (7.45 wh)|| 2 gb ram||(six-core graphics)|apple a10 fusion||quad-core|no|128 gb||7 mp, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, hdr, panorama|12 mp, f/1.8, 28mm, phase detection autofocus, ois, quad-led (dual tone) flash|138 g (4.87 oz)|138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)|4.7 inches (~65.6% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|750 x 1334 pixels (~326 ppi pixel density)||
apple iphone se 32gb silver|v4.2, a2dp, le||||ios 9.3||nano-sim|||||lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 29(700)|hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100|gsm 850 / 900 / 1800 / 1900||wi-fi 802.11 a/b/g/n/ac, hotspot|non-removable li-po 1642 mah battery|| 2 gb ram||powervr gt7600 (six-core graphics)|apple a9||dual-core 1.84 ghz twister|no|32 gb||1.2 mp, f/2.4, 31mm, 720p@30fps, face detection, hdr, facetime over wi-fi or cellular|12 mp, f/2.2, 29mm, phase detection autofocus, dual-led (dual tone) flash|113 g (3.99 oz)|123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)|4.0 inches (~60.8% screen-to-body ratio)||led-backlit ips lcd, capacitive touchscreen, 16m colors|640 x 1136 pixels (~326 ppi pixel density)||
apple ipod shuffle 4th generation 2gb silver||||||||||88 €|||||||non-removable li-ion battery|||||||||2 gb storage||||12 g|29 x 31.6 x 8.7 mm||||||
apple ipod touch 6th generation 32gb blue|yes, v4.1 with a2dp, edr||||ios 8.4, upgradable to ios 9|||||288 €||||||wi-fi 802.11 a/b/g/n/ac, dual-band|non-removable li-po battery (16.3 wh)|| 1 gb ram|||apple a8||dual-core 1.1 ghz||32 gb storage||yes, 1.2 mp, 720p@30fps, face detection, facetime over wi-fi|8 mp, 3264 x 2448 pixels, autofocus, led flash, 1/3.2'' sensor size, 1.4 µm pixel size, geo-tagging, touch focus, face detection, panorama, hdr photo|88 g|123 x 58.6 x 6.1 mm|1136 x 640 pixels, 4.0 inches (~326 ppi pixel density)||led-backlit ips lcd, capacitive touchscreen, 16m colors|||
