TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
xiaomi redmi note 4x 4g phablet international version|bluetooth v4.2 ||4g phablet |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |xiaomi ||$156.26|3g,4g,bluetooth,gps,gsm,lte,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |4100mah(typ) / 4000mah(min) built-in ||3gb ram ||adreno 506 |qualcomm snapdragon 625 (msm8953) ||2.0ghz,octa core |tf card up to 128gb (not included) |16gb ||5.0mp |13.0mp,with flash light and af |0.1650 kg |15.10 x 7.60 x 0.84 cm / 5.94 x 2.99 x 0.33 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) ||
vernee apollo x 4g phablet|||4g phablet |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |vernee ||$177.99|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte |802.11b/g/n wireless internet |3500mah built-in ||4gb ram ||mali t880 |helio x20 ||2.3ghz,deca core |tf card up to 128gb (not included) |64gb ||5.0mp |13.0mp,with flash light and af |0.1790 kg |15.18 x 7.56 x 0.95 cm / 5.98 x 2.98 x 0.37 inches |5.5 inch ||capacitive,corning gorilla glass 3 |1920 x 1080 (fhd) ||
bluboo x9 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 5.1 ||one is standard sim card,the other is micro sim card |bluboo ||$99.99|gsm,3g,bluetooth,gps,a-gps,wifi,4g |fdd-lte 800/1800/2100/2600mhz |wcdma 850/900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte |802.11a/b/g/n wireless internet |2500mah |lithium-ion polymer battery |3gb ram ||mali-t720 |mtk6753 64bit ||octa core,1.3ghz |tf card up to 32gb (not included) |16gb ||5.0mp |13.0mp |0.166 kg |14.50 x 7.15 x 0.79 cm / 5.71 x 2.81 x 0.31 inches |5.0 inch ||capacitive (5-points),ips |1920 x 1080 (fhd) ||
vkworld mix+ 4g phablet|v4.0 ||4g phablet |dual sim,dual standby |android 7.0 ||micro sim card |vkworld |||3g,4g,bluetooth,gps,wifi |fdd b1 2100mhz,fdd b3 1800mhz,fdd b7 2600mhz,tdd b19 800mhz |wcdma b1 2100mhz,wcdma b5 850mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |2850mah |non-removable |3gb ram |||mtk6737 ||1.3ghz,quad core |tf card up to 64gb (not included) |32gb ||5.0mp |13.0mp |0.1620 kg |14.40 x 7.15 x 0.89 cm / 5.67 x 2.81 x 0.35 inches |5.5 inch ||corning gorilla glass,ips |1440 x 720 ||
elephone p8 4g phablet|v4.1 ||4g phablet |dual sim,dual standby |android 7.0 ||nano sim card |elephone ||$249.47|3g,4g,bluetooth,dual band wifi,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b38 2600mhz,tdd b40 2300mhz |wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b5 850mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11a/b/g/n wireless internet |3600mah |non-removable |6gb ram ||mali t880 |helio p25 ||2.5ghz,octa core |tf card up to 128gb (not included) |64gb ||16.0mp |21.0mp |0.1860 kg |15.39 x 7.55 x 0.95 cm / 6.06 x 2.97 x 0.37 inches |5.5 inch ||2.5d arc screen |1920 x 1080 (fhd) ||
xiaomi redmi note 4x 4g phablet|bluetooth v4.2 ||4g phablet |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |xiaomi ||$152.99|3g,4g,bluetooth,gps,gsm,lte,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |4100mah built-in ||||adreno 506 |qualcomm snapdragon 625 (msm8953) ||2.0ghz,octa core |tf card up to 128gb (not included) |||5.0mp |13.0mp,with flash light and af |0.1710 kg |15.10 x 7.60 x 0.85 cm / 5.94 x 2.99 x 0.33 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) ||
vernee thor e 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 7.0 ||nano sim card |vernee ||$108.99|3g,4g,a-gps,bluetooth,dual band wifi,gsm,wifi |fdd-lte 800/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte |802.11a/b/g/n wireless internet |5020mah (typ) |non-removable |3gb ram ||mali-t720 |mtk6753 64bit ||1.3ghz,octa core |tf card up to 128gb (not included) |16gb ||2.0mp ( sw 5.0mp ) |8.0mp ( sw 13.0mp ) with flash light and af |0.1670 kg |14.40 x 7.10 x 0.89 cm / 5.67 x 2.8 x 0.35 inches |5.0 inch ||capacitive |1280 x 720 (hd 720) ||
oneplus 3t global version 4g phablet|bluetooth v4.2 ||4g phablet |dual sim,dual standby |oxygenos ||dual nano sim |oneplus ||$478.96|3g,4g,a-gps,bluetooth,gps,gsm,wifi |fdd-lte b1/b3/b5/b7/b8/b20 |wcdma b1/b2/b5/b8 |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte+td-lte |802.11a/b/g/n/ac wireless internet |3400mah |non-removable |6gb ram ||adreno 530 |qualcomm snapdragon 821 ||1.6ghz,2.35ghz,quad core |not supported |64gb ||16mp 1.0 um |16mp 1.12 um with flash light and af |0.1580 kg |15.27 x 7.47 x 0.74 cm / 6.01 x 2.94 x 0.29 inches |5.5 inch |401|corning gorilla glass |1920 x 1080 (fhd) ||
bluboo maya 3g phablet|||3g smartphone |dual sim |android 6.0 ||micro sim card,standard sim card |bluboo ||$69.99|3g,a-gps,bluetooth 4.0,gsm,wifi ||wcdma 850/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |3000mah ||2gb ram ||mali-400 mp |mtk6580 ||1.3ghz,quad core |tf card up to 32gb (not included) |16gb ||8.0mp |13.0mp |0.140 kg |15.40 x 7.80 x 0.85 cm / 6.06 x 3.07 x 0.33 inches |5.5inch ||capacitive,ips |1280 x 720 (hd 720) ||
elephone c1x 4g phablet|v4.0 ||smart phone |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |elephone ||$91.99|3g,4g,bluetooth 4.0,gps,gsm,wifi,lte |fdd-lte 800/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+fdd-lte+td-lte |802.11b/g/n wireless internet |2500mah built-in ||2gb ram |||mtk6737 ||1.3ghz,quad core |tf card up to 64gb (not included) |16gb ||5.0mp |8.0mp ( sw 13.0mp ) |0.1770 kg |15.30 x 7.75 x 0.80 cm / 6.02 x 3.05 x 0.31 inches |5.5 inch ||2.5d arc screen,ips |1280 x 720 (hd 720) ||
kingzone s3 3g smartphone|v4.0 ||3g smartphone |dual sim,dual standby |android 6.0 ||micro sim card |kingzone ||$67.27|3g,bluetooth 4.0,gps,gsm,wifi ||wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11a/b/g/n wireless internet |1 x 2600mah ||1gb ram |||mtk6580 ||1.3ghz,quad core |tf card up to 64gb (not included) |16gb ||5.0mp |8.0mp |0.1283 kg |14.30 x 7.10 x 0.83 cm / 5.63 x 2.8 x 0.33 inches |5.0 inch ||capacitive,ips |1280 x 720 (hd 720) ||
agm a8 se 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 7.0 ||nano sim card |agm ||$135.94|3g,4g,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,tdd b38 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |4050mah ||2gb ram |||msm8916 ||1.2ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |8.0mp |0.2470 kg |15.90 x 8.30 x 1.60 cm / 6.26 x 3.27 x 0.63 inches |5.0 inch ||corning gorilla glass 3,ips |1280 x 720 (hd 720) ||
umidigi z1 pro 4g phablet|v4.1 ||4g phablet |dual sim,dual standby |android 7.0 ||nano sim card |umidigi ||$327.66|3g,4g,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11a/b/g/n wireless internet |4000mah |non-removable |6gb |||mtk6757 ||2.3ghz,octa core |tf card up to 256gb |64gb ||5.0mp |13.0mp + 5.0mp |0.1480 kg |15.44 x 7.51 x 0.69 cm / 6.08 x 2.96 x 0.27 inches |5.5 inch ||2.5d arc screen |1920 x 1080 (fhd) ||
blackview bv8000 pro 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 7.0 ||micro sim card |blackview ||$330.82|3g,4g,bluetooth,gps,gsm,nfc,wifi |fdd b1 2100mhz,fdd b17 700mhz,fdd b2 1900mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b4 1700mhz,fdd b5 850mhz,fdd b7 2600mhz,tdd b19 800mhz,tdd b38 2600mhz,tdd b39 1900mhz,tdd b40 2300mhz,tdd b41 2500mhz |wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b4 1700mhz,wcdma b5 850mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,td-scdma,tdd-lte,wcdma |802.11a/b/g/n wireless internet |4180mah built-in ||6gb ram |||mtk6757 ||2.3ghz,octa core |tf card up to 32gb (not included) |64gb ||8.0mp |16.0mp |0.2330 kg |15.62 x 7.92 x 1.32 cm / 6.15 x 3.12 x 0.52 inches |5.0 inch ||corning gorilla glass,ips |1920 x 1080 (fhd) ||
xiaomi redmi note 4x 4g phablet|bluetooth v4.2 ||4g phablet |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |xiaomi ||$209.09|3g,4g,bluetooth,gps,gsm,lte,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |4100mah built-in ||||adreno 506 |qualcomm snapdragon 625 (msm8953) ||2.0ghz,octa core |tf card up to 128gb (not included) |||5.0mp |13.0mp,with flash light and af |0.1710 kg |15.10 x 7.60 x 0.85 cm / 5.94 x 2.99 x 0.33 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) ||
elephone p8 mini 4g smartphone|||4g smartphone |dual sim,dual standby |android 7.0 ||nano sim card |elephone ||$139.99|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b5 850mhz,fdd b7 2600mhz,tdd b38 2600mhz,tdd b40 2300mhz,tdd b41 2500mhz |wcdma b1 2100mhz,wcdma b20 800mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11a/b/g/n wireless internet |2860mah |lithium-ion polymer battery |4gb ram ||mali-t860 |mtk6750t ||1.5ghz,octa core |tf card up to 128gb (not included) |64gb ||16.0mp |13.0mp + 2.0mp |0.1330 kg |14.36 x 7.40 x 0.81 cm / 5.65 x 2.91 x 0.32 inches |5.0 inch ||capacitive |1920 x 1080 (fhd) ||
motorola moto m 4g phablet|v4.1 ||4g phablet |dual sim,dual standby |android 6.0 ||dual nano sim |motorola ||$202.55|3g,4g,bluetooth,gps,gsm,wifi |fdd-lte band 1/3/7 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |3050mah built-in ||4gb ram ||mali-t860 |helio p15 ||2.2ghz,octa core |tf card up to 128gb (not included) |32gb ||8.0mp |16.0mp,with flash light and af |0.163 kg |15.13 x 7.53 x 0.78 cm / 5.96 x 2.96 x 0.31 inches |5.5 inch ||capacitive,ips |1920 x 1080 (fhd) ||
homtom ht50 4g phablet|v4.0 ||4g phablet |dual sim,dual standby |android 7.0 ||micro sim card |homtom ||$109.99|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |5500mah |non-removable |3gb ram |||mtk6737 ||1.3ghz,quad core |tf card up to 64gb (not included) |32gb ||13.0mp |13.0mp |0.1950 kg |15.65 x 7.85 x 0.89 cm / 6.16 x 3.09 x 0.35 inches |5.5 inch ||2.5d arc screen |1280 x 720 (hd 720) ||
blackview r6 lite 3g phablet|v4.0 ||3g phablet |dual sim,dual standby |android 7.0 ||micro sim card |blackview ||$72.99|3g,bluetooth 4.0,gps,gsm,wifi ||wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |gsm,wcdma |802.11b/g/n wireless internet |3000mah built-in ||1gb ram |||mtk6580 ||1.3ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |8.0mp |0.1900 kg |15.20 x 7.71 x 0.95 cm / 5.98 x 3.04 x 0.37 inches |5.5 inch ||capacitive,ips |960 x 540 (qhd) ||
xiaomi redmi note 4x 4g phablet international version|bluetooth v4.2 ||4g phablet |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |xiaomi ||$182.18|3g,4g,bluetooth,gps,gsm,lte,wifi |fdd-lte b1/b3/b5/b7/b8 |wcdma b1/b2/b5/b8 |gsm b2/b3/b5/b8 |gsm+cdma+wcdma+td-scdma+fdd-lte+td-lte |802.11a/b/g/n wireless internet |4100mah(typ) / 4000mah(min) built-in ||3gb ram ||adreno 506 |qualcomm snapdragon 625 (msm8953) ||2.0ghz,octa core |tf card up to 128gb (not included) |16gb ||5.0mp |13.0mp,with flash light and af |0.1650 kg |15.10 x 7.60 x 0.84 cm / 5.94 x 2.99 x 0.33 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) ||
gretel a7 3g smartphone|v4.0 ||3g smartphone |dual sim,dual standby |android 6.0 ||micro sim card |gretel ||$49.99|3g,bluetooth 4.0,gps,gsm,wifi ||wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |1 x 2000mah ||1gb ram |||mtk6580 ||1.3ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |8.0mp |0.1270 kg |13.96 x 6.69 x 0.94 cm / 5.5 x 2.63 x 0.37 inches |4.7 inch ||corning gorilla glass,ips |1280 x 720 (hd 720) ||
ulefone metal 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 6.0 ||micro sim card,nano sim card |ulefone ||$114.93|3g,4g,bluetooth 4.0,gps,gsm,wifi |fdd-lte 800/900/1800/2100/2600mhz |wcdma 900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte+wcdma+gsm |802.11a/b/g/n wireless internet |3050mah built-in |lithium-ion polymer battery |3gb ram |||mtk6753 64bit ||1.3ghz,octa core |tf card up to 128gb (not included) |16gb ||2.0mp (sw 5.0mp) |8.0mp (sw 13.0mp) |0.1550 kg |14.30 x 7.10 x 0.94 cm / 5.63 x 2.8 x 0.37 inches |5.0 inch ||corning gorilla glass 3 |1280 x 720 (hd 720) ||
cubot rainbow 2 3g smartphone|v4.0 ||3g smartphone |dual sim,dual standby |android 7.0 ||micro sim card |cubot ||$70.27|3g,a-gps,bluetooth 4.0,gps,gsm,wifi ||wcdma 900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |2350mah built-in ||1gb ram |||mtk6580 ||1.3ghz,quad core |tf card up to 256gb |16gb ||2.0mp ( sw 5.0mp) |8.0mp ( sw 13.0mp ) + 2.0mp |0.1560 kg |14.40 x 7.20 x 0.83 cm / 5.67 x 2.83 x 0.33 inches |5.0 inch ||ips |1280 x 720 (hd 720) ||
homtom ht37 pro 4g smartphone|v4.0 ||4g smartphone |dual sim,dual standby |android 7.0 ||micro sim card |homtom ||$89.99|3g,4g,bluetooth,gps,gsm,wifi |fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz |wcdma b1 2100mhz,wcdma b8 900mhz |gsm 1800mhz,gsm 1900mhz,gsm 850mhz,gsm 900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |1 x 3000mah ||3gb ram |||mtk6737 ||1.3ghz,quad core |tf card up to 64gb (not included) |32gb ||5.0mp ( sw 8.0mp ) |8.0mp ( sw 13.0 mp ) |0.1610 kg |14.73 x 7.16 x 0.89 cm / 5.8 x 2.82 x 0.35 inches |5.0 inch ||capacitive |1280 x 720 (hd 720) ||
asus zenfone 2 ( ze551ml ) 4g phablet|||4g phablet |dual sim,dual standby |android 5.0 ||dual micro sim card |asus ||$130.99|3g,4g,bluetooth,gps,gsm,wifi |fdd-lte 1800/2100mhz |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma+lte-fdd |802.11b/g/n wireless internet |3000mah built-in ||4gb ram ||powervr g6430 |intel z3560 ||1.8ghz,quad core |tf card up to 64gb (not included) |16gb ||5.0mp |13.0mp (dual flashlight) |0.1760 kg |15.25 x 7.72 x 1.09 cm / 6 x 3.04 x 0.43 inches |5.5 inch ||capacitive |1920 x 1080 (fhd) ||
